rxn_smiles,R,P,rxn_type
CO[CH]CC(C)OO>>COC1CC(C)O1.[OH],CO[CH]CC(C)OO,COC1CC(C)O1.[OH],cyc_4mem
CO[C](C)CC(C)OO>>COC1(C)CC(C)O1.[OH],CO[C](C)CC(C)OO,COC1(C)CC(C)O1.[OH],cyc_4mem
CO[CH]CC(C)(C)OO>>COC1CC(C)(C)O1.[OH],CO[CH]CC(C)(C)OO,COC1CC(C)(C)O1.[OH],cyc_4mem
CO[C](C)CC(C)(C)OO>>COC1(C)CC(C)(C)O1.[OH],CO[C](C)CC(C)(C)OO,COC1(C)CC(C)(C)O1.[OH],cyc_4mem
[CH2]CC(OC)OO>>COC1CCO1.[OH],[CH2]CC(OC)OO,COC1CCO1.[OH],cyc_4mem
C[CH]CC(OC)OO>>COC1CC(C)O1.[OH],C[CH]CC(OC)OO,COC1CC(C)O1.[OH],cyc_4mem
[CH2]C[C@](C)(OC)OO>>CO[C@@]1(C)CCO1.[OH],[CH2]C[C@](C)(OC)OO,CO[C@@]1(C)CCO1.[OH],cyc_4mem
C[CH]CC(C)(OC)OO>>COC1(C)CC(C)O1.[OH],C[CH]CC(C)(OC)OO,COC1(C)CC(C)O1.[OH],cyc_4mem
COC(C[C](C)C)OO>>COC1CC(C)(C)O1.[OH],COC(C[C](C)C)OO,COC1CC(C)(C)O1.[OH],cyc_4mem
COC(C)(C[C](C)C)OO>>COC1(C)CC(C)(C)O1.[OH],COC(C)(C[C](C)C)OO,COC1(C)CC(C)(C)O1.[OH],cyc_4mem
[CH2]C(OC)OO>>COC1CO1.[OH],[CH2]C(OC)OO,COC1CO1.[OH],cyc_5mem
CO[CH]COO>>COC1CO1.[OH],CO[CH]COO,COC1CO1.[OH],cyc_5mem
[CH2]C(C)(OC)OO>>COC1(C)CO1.[OH],[CH2]C(C)(OC)OO,COC1(C)CO1.[OH],cyc_5mem
CO[C](C)COO>>COC1(C)CO1.[OH],CO[C](C)COO,COC1(C)CO1.[OH],cyc_5mem
C[CH]C(OC)OO>>COC1OC1C.[OH],C[CH]C(OC)OO,COC1OC1C.[OH],cyc_5mem
CO[CH]C(C)OO>>COC1OC1C.[OH],CO[CH]C(C)OO,COC1OC1C.[OH],cyc_5mem
[CH2]C(COC)OO>>COCC1CO1.[OH],[CH2]C(COC)OO,COCC1CO1.[OH],cyc_5mem
C[CH]C(C)(OC)OO>>COC1(C)OC1C.[OH],C[CH]C(C)(OC)OO,COC1(C)OC1C.[OH],cyc_5mem
[CH2]C(CC)(OC)OO>>CCC1(OC)CO1.[OH],[CH2]C(CC)(OC)OO,CCC1(OC)CO1.[OH],cyc_5mem
COC(OO)[C](C)C>>COC1OC1(C)C.[OH],COC(OO)[C](C)C,COC1OC1(C)C.[OH],cyc_5mem
[CH2]C(OO)C(C)OC>>COC(C)C1CO1.[OH],[CH2]C(OO)C(C)OC,COC(C)C1CO1.[OH],cyc_5mem
CO[C](C)C(C)OO>>COC1(C)OC1C.[OH],CO[C](C)C(C)OO,COC1(C)OC1C.[OH],cyc_5mem
CO[CH]C(C)(C)OO>>COC1OC1(C)C.[OH],CO[CH]C(C)(C)OO,COC1OC1(C)C.[OH],cyc_5mem
[CH2]C(C)(COC)OO>>COCC1(C)CO1.[OH],[CH2]C(C)(COC)OO,COCC1(C)CO1.[OH],cyc_5mem
[CH2]C(OC)(OO)C(C)C>>COC1(C(C)C)CO1.[OH],[CH2]C(OC)(OO)C(C)C,COC1(C(C)C)CO1.[OH],cyc_5mem
COC(C)(OO)[C](C)C>>COC1(C)OC1(C)C.[OH],COC(C)(OO)[C](C)C,COC1(C)OC1(C)C.[OH],cyc_5mem
CO[C](C)C(C)(C)OO>>COC1(C)OC1(C)C.[OH],CO[C](C)C(C)(C)OO,COC1(C)OC1(C)C.[OH],cyc_5mem
[CH2]C(C)(OO)C(C)OC>>COC(C)C1(C)CO1.[OH],[CH2]C(C)(OO)C(C)OC,COC(C)C1(C)CO1.[OH],cyc_5mem
[CH2]OCOO>>C1OCO1.[OH],[CH2]OCOO,C1OCO1.[OH],cyc_5mem
C[CH]OCOO>>CC1OCO1.[OH],C[CH]OCOO,CC1OCO1.[OH],cyc_5mem
