rxn_smiles,R,P,rxn_type
C[C](C)CCOCOO>>CC1(C)CCOCO1.[OH],C[C](C)CCOCOO,CC1(C)CCOCO1.[OH],cyc_6mem
[CH2]CCOC(C)(C)OO>>CC1(C)OCCCO1.[OH],[CH2]CCOC(C)(C)OO,CC1(C)OCCCO1.[OH],cyc_6mem
C[CH]CCOC(C)(C)OO>>CC1CCOC(C)(C)O1.[OH],C[CH]CCOC(C)(C)OO,CC1CCOC(C)(C)O1.[OH],cyc_6mem
C[C](C)CCOC(C)OO>>CC1OCCC(C)(C)O1.[OH],C[C](C)CCOC(C)OO,CC1OCCC(C)(C)O1.[OH],cyc_6mem
C[C](C)CCOC(C)(C)OO>>CC1(C)CCOC(C)(C)O1.[OH],C[C](C)CCOC(C)(C)OO,CC1(C)CCOC(C)(C)O1.[OH],cyc_6mem
[CH2]COCCOO>>C1COCCO1.[OH],[CH2]COCCOO,C1COCCO1.[OH],cyc_6mem
[CH2]COCC(C)OO>>CC1COCCO1.[OH],[CH2]COCC(C)OO,CC1COCCO1.[OH],cyc_6mem
C[CH]COCCOO>>CC1COCCO1.[OH],C[CH]COCCOO,CC1COCCO1.[OH],cyc_6mem
C[CH]COCC(C)OO>>CC1COCC(C)O1.[OH],C[CH]COCC(C)OO,CC1COCC(C)O1.[OH],cyc_6mem
C[C](C)COCCOO>>CC1(C)COCCO1.[OH],C[C](C)COCCOO,CC1(C)COCCO1.[OH],cyc_6mem
[CH2]COCC(C)(C)OO>>CC1(C)COCCO1.[OH],[CH2]COCC(C)(C)OO,CC1(C)COCCO1.[OH],cyc_6mem
C[CH]COCC(C)(C)OO>>CC1COCC(C)(C)O1.[OH],C[CH]COCC(C)(C)OO,CC1COCC(C)(C)O1.[OH],cyc_6mem
C[C](C)COCC(C)OO>>CC1COCC(C)(C)O1.[OH],C[C](C)COCC(C)OO,CC1COCC(C)(C)O1.[OH],cyc_6mem
C[C](C)COCC(C)(C)OO>>CC1(C)COCC(C)(C)O1.[OH],C[C](C)COCC(C)(C)OO,CC1(C)COCC(C)(C)O1.[OH],cyc_6mem
[CH2]OCCCOO>>C1COCOC1.[OH],[CH2]OCCCOO,C1COCOC1.[OH],cyc_6mem
[CH2]OCCC(C)OO>>CC1CCOCO1.[OH],[CH2]OCCC(C)OO,CC1CCOCO1.[OH],cyc_6mem
C[CH]OCCCOO>>CC1OCCCO1.[OH],C[CH]OCCCOO,CC1OCCCO1.[OH],cyc_6mem
C[CH]OCCC(C)OO>>CC1CCOC(C)O1.[OH],C[CH]OCCC(C)OO,CC1CCOC(C)O1.[OH],cyc_6mem
C[C](C)OCCCOO>>CC1(C)OCCCO1.[OH],C[C](C)OCCCOO,CC1(C)OCCCO1.[OH],cyc_6mem
[CH2]OCCC(C)(C)OO>>CC1(C)CCOCO1.[OH],[CH2]OCCC(C)(C)OO,CC1(C)CCOCO1.[OH],cyc_6mem
C[CH]OCCC(C)(C)OO>>CC1OCCC(C)(C)O1.[OH],C[CH]OCCC(C)(C)OO,CC1OCCC(C)(C)O1.[OH],cyc_6mem
C[C](C)OCCC(C)OO>>CC1CCOC(C)(C)O1.[OH],C[C](C)OCCC(C)OO,CC1CCOC(C)(C)O1.[OH],cyc_6mem
C[C](C)OCCC(C)(C)OO>>CC1(C)CCOC(C)(C)O1.[OH],C[C](C)OCCC(C)(C)OO,CC1(C)CCOC(C)(C)O1.[OH],cyc_6mem
CO[CH]CCCCOO>>COC1CCCCO1.[OH],CO[CH]CCCCOO,COC1CCCCO1.[OH],cyc_6mem
CO[CH]CCCC(C)OO>>COC1CCCC(C)O1.[OH],CO[CH]CCCC(C)OO,COC1CCCC(C)O1.[OH],cyc_6mem
CO[C](C)CCCCOO>>COC1(C)CCCCO1.[OH],CO[C](C)CCCCOO,COC1(C)CCCCO1.[OH],cyc_6mem
CO[C](C)CCCC(C)OO>>COC1(C)CCCC(C)O1.[OH],CO[C](C)CCCC(C)OO,COC1(C)CCCC(C)O1.[OH],cyc_6mem
CO[CH]CCCC(C)(C)OO>>COC1CCCC(C)(C)O1.[OH],CO[CH]CCCC(C)(C)OO,COC1CCCC(C)(C)O1.[OH],cyc_6mem
CO[C](C)CCCC(C)(C)OO>>COC1(C)CCCC(C)(C)O1.[OH],CO[C](C)CCCC(C)(C)OO,COC1(C)CCCC(C)(C)O1.[OH],cyc_6mem
[CH2]CCCC(OC)OO>>COC1CCCCO1.[OH],[CH2]CCCC(OC)OO,COC1CCCCO1.[OH],cyc_6mem
C[CH]CCCC(OC)OO>>COC1CCCC(C)O1.[OH],C[CH]CCCC(OC)OO,COC1CCCC(C)O1.[OH],cyc_6mem
[CH2]CCCC(C)(OC)OO>>COC1(C)CCCCO1.[OH],[CH2]CCCC(C)(OC)OO,COC1(C)CCCCO1.[OH],cyc_6mem
C[CH]CCCC(C)(OC)OO>>COC1(C)CCCC(C)O1.[OH],C[CH]CCCC(C)(OC)OO,COC1(C)CCCC(C)O1.[OH],cyc_6mem
COC(C)(CCC[C](C)C)OO>>COC1(C)CCCC(C)(C)O1.[OH],COC(C)(CCC[C](C)C)OO,COC1(C)CCCC(C)(C)O1.[OH],cyc_6mem
COC(CCC[C](C)C)OO>>COC1CCCC(C)(C)O1.[OH],COC(CCC[C](C)C)OO,COC1CCCC(C)(C)O1.[OH],cyc_6mem
[CH2]C(OC)OO>>COC1CO1.[OH],[CH2]C(OC)OO,COC1CO1.[OH],beta_scis
CO[CH]COO>>COC1CO1.[OH],CO[CH]COO,COC1CO1.[OH],beta_scis
[CH2]C(C)(OC)OO>>COC1(C)CO1.[OH],[CH2]C(C)(OC)OO,COC1(C)CO1.[OH],beta_scis
CO[C](C)COO>>COC1(C)CO1.[OH],CO[C](C)COO,COC1(C)CO1.[OH],beta_scis
C[CH]C(OC)OO>>COC1OC1C.[OH],C[CH]C(OC)OO,COC1OC1C.[OH],beta_scis
CO[CH]C(C)OO>>COC1OC1C.[OH],CO[CH]C(C)OO,COC1OC1C.[OH],beta_scis
[CH2]C(COC)OO>>COCC1CO1.[OH],[CH2]C(COC)OO,COCC1CO1.[OH],beta_scis
C[CH]C(C)(OC)OO>>COC1(C)OC1C.[OH],C[CH]C(C)(OC)OO,COC1(C)OC1C.[OH],beta_scis
[CH2]C(CC)(OC)OO>>CCC1(OC)CO1.[OH],[CH2]C(CC)(OC)OO,CCC1(OC)CO1.[OH],beta_scis
COC(OO)[C](C)C>>COC1OC1(C)C.[OH],COC(OO)[C](C)C,COC1OC1(C)C.[OH],beta_scis
[CH2]C(OO)C(C)OC>>COC(C)C1CO1.[OH],[CH2]C(OO)C(C)OC,COC(C)C1CO1.[OH],beta_scis
CO[C](C)C(C)OO>>COC1(C)OC1C.[OH],CO[C](C)C(C)OO,COC1(C)OC1C.[OH],beta_scis
CO[CH]C(C)(C)OO>>COC1OC1(C)C.[OH],CO[CH]C(C)(C)OO,COC1OC1(C)C.[OH],beta_scis
[CH2]C(C)(COC)OO>>COCC1(C)CO1.[OH],[CH2]C(C)(COC)OO,COCC1(C)CO1.[OH],beta_scis
[CH2]C(OC)(OO)C(C)C>>COC1(C(C)C)CO1.[OH],[CH2]C(OC)(OO)C(C)C,COC1(C(C)C)CO1.[OH],beta_scis
COC(C)(OO)[C](C)C>>COC1(C)OC1(C)C.[OH],COC(C)(OO)[C](C)C,COC1(C)OC1(C)C.[OH],beta_scis
CO[C](C)C(C)(C)OO>>COC1(C)OC1(C)C.[OH],CO[C](C)C(C)(C)OO,COC1(C)OC1(C)C.[OH],beta_scis
[CH2]C(C)(OO)C(C)OC>>COC(C)C1(C)CO1.[OH],[CH2]C(C)(OO)C(C)OC,COC(C)C1(C)CO1.[OH],beta_scis
[CH2]OCOO>>C1OCO1.[OH],[CH2]OCOO,C1OCO1.[OH],beta_scis
C[CH]OCOO>>CC1OCO1.[OH],C[CH]OCOO,CC1OCO1.[OH],beta_scis
[CH2]OC(C)OO>>CC1OCO1.[OH],[CH2]OC(C)OO,CC1OCO1.[OH],beta_scis
C[C](C)OCOO>>CC1(C)OCO1.[OH],C[C](C)OCOO,CC1(C)OCO1.[OH],beta_scis
[CH2]OC(C)(C)OO>>CC1(C)OCO1.[OH],[CH2]OC(C)(C)OO,CC1(C)OCO1.[OH],beta_scis
C[CH]OC(C)OO>>CC1OC(C)O1.[OH],C[CH]OC(C)OO,CC1OC(C)O1.[OH],beta_scis
C[C](C)OC(C)OO>>CC1OC(C)(C)O1.[OH],C[C](C)OC(C)OO,CC1OC(C)(C)O1.[OH],beta_scis
C[CH]OC(C)(C)OO>>CC1OC(C)(C)O1.[OH],C[CH]OC(C)(C)OO,CC1OC(C)(C)O1.[OH],beta_scis
C[C](C)OC(C)(C)OO>>CC1(C)OC(C)(C)O1.[OH],C[C](C)OC(C)(C)OO,CC1(C)OC(C)(C)O1.[OH],beta_scis
CO[CH]CCOO>>COC1CCO1.[OH],CO[CH]CCOO,COC1CCO1.[OH],beta_scis
CO[C](C)CCOO>>COC1(C)CCO1.[OH],CO[C](C)CCOO,COC1(C)CCO1.[OH],beta_scis
CO[CH]CC(C)OO>>COC1CC(C)O1.[OH],CO[CH]CC(C)OO,COC1CC(C)O1.[OH],beta_scis
CO[C](C)CC(C)OO>>COC1(C)CC(C)O1.[OH],CO[C](C)CC(C)OO,COC1(C)CC(C)O1.[OH],beta_scis
CO[CH]CC(C)(C)OO>>COC1CC(C)(C)O1.[OH],CO[CH]CC(C)(C)OO,COC1CC(C)(C)O1.[OH],beta_scis
CO[C](C)CC(C)(C)OO>>COC1(C)CC(C)(C)O1.[OH],CO[C](C)CC(C)(C)OO,COC1(C)CC(C)(C)O1.[OH],beta_scis
[CH2]CC(OC)OO>>COC1CCO1.[OH],[CH2]CC(OC)OO,COC1CCO1.[OH],beta_scis
C[CH]CC(OC)OO>>COC1CC(C)O1.[OH],C[CH]CC(OC)OO,COC1CC(C)O1.[OH],beta_scis
[CH2]C[C@](C)(OC)OO>>CO[C@@]1(C)CCO1.[OH],[CH2]C[C@](C)(OC)OO,CO[C@@]1(C)CCO1.[OH],beta_scis
C[CH]CC(C)(OC)OO>>COC1(C)CC(C)O1.[OH],C[CH]CC(C)(OC)OO,COC1(C)CC(C)O1.[OH],beta_scis
COC(C[C](C)C)OO>>COC1CC(C)(C)O1.[OH],COC(C[C](C)C)OO,COC1CC(C)(C)O1.[OH],beta_scis
COC(C)(C[C](C)C)OO>>COC1(C)CC(C)(C)O1.[OH],COC(C)(C[C](C)C)OO,COC1(C)CC(C)(C)O1.[OH],beta_scis
[CH2]COCOO>>C1COCO1.[OH],[CH2]COCOO,C1COCO1.[OH],beta_scis
[CH2]COC(C)OO>>CC1OCCO1.[OH],[CH2]COC(C)OO,CC1OCCO1.[OH],beta_scis
C[CH]COCOO>>CC1COCO1.[OH],C[CH]COCOO,CC1COCO1.[OH],beta_scis
C[CH]COC(C)OO>>CC1COC(C)O1.[OH],C[CH]COC(C)OO,CC1COC(C)O1.[OH],beta_scis
C[C](C)COCOO>>CC1(C)COCO1.[OH],C[C](C)COCOO,CC1(C)COCO1.[OH],beta_scis
[CH2]COC(C)(C)OO>>CC1(C)OCCO1.[OH],[CH2]COC(C)(C)OO,CC1(C)OCCO1.[OH],beta_scis
C[CH]COC(C)(C)OO>>CC1COC(C)(C)O1.[OH],C[CH]COC(C)(C)OO,CC1COC(C)(C)O1.[OH],beta_scis
C[C](C)COC(C)OO>>CC1OCC(C)(C)O1.[OH],C[C](C)COC(C)OO,CC1OCC(C)(C)O1.[OH],beta_scis
C[C](C)COC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)COC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],beta_scis
[CH2]OCCOO>>C1COCO1.[OH],[CH2]OCCOO,C1COCO1.[OH],beta_scis
[CH2]OCC(C)OO>>CC1COCO1.[OH],[CH2]OCC(C)OO,CC1COCO1.[OH],beta_scis
C[CH]OCCOO>>CC1OCCO1.[OH],C[CH]OCCOO,CC1OCCO1.[OH],beta_scis
C[CH]OCC(C)OO>>CC1COC(C)O1.[OH],C[CH]OCC(C)OO,CC1COC(C)O1.[OH],beta_scis
C[C](C)OCCOO>>CC1(C)OCCO1.[OH],C[C](C)OCCOO,CC1(C)OCCO1.[OH],beta_scis
[CH2]OCC(C)(C)OO>>CC1(C)COCO1.[OH],[CH2]OCC(C)(C)OO,CC1(C)COCO1.[OH],beta_scis
C[CH]OCC(C)(C)OO>>CC1OCC(C)(C)O1.[OH],C[CH]OCC(C)(C)OO,CC1OCC(C)(C)O1.[OH],beta_scis
C[C](C)OCC(C)OO>>CC1COC(C)(C)O1.[OH],C[C](C)OCC(C)OO,CC1COC(C)(C)O1.[OH],beta_scis
C[C](C)OCC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)OCC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],beta_scis
CO[CH]CCCOO>>COC1CCCO1.[OH],CO[CH]CCCOO,COC1CCCO1.[OH],beta_scis
CO[CH]CCC(C)OO>>COC1CCC(C)O1.[OH],CO[CH]CCC(C)OO,COC1CCC(C)O1.[OH],beta_scis
CO[C](C)CCCOO>>COC1(C)CCCO1.[OH],CO[C](C)CCCOO,COC1(C)CCCO1.[OH],beta_scis
CO[C](C)CCC(C)OO>>COC1(C)CCC(C)O1.[OH],CO[C](C)CCC(C)OO,COC1(C)CCC(C)O1.[OH],beta_scis
CO[CH]CCC(C)(C)OO>>COC1CCC(C)(C)O1.[OH],CO[CH]CCC(C)(C)OO,COC1CCC(C)(C)O1.[OH],beta_scis
CO[C](C)CCC(C)(C)OO>>COC1(C)CCC(C)(C)O1.[OH],CO[C](C)CCC(C)(C)OO,COC1(C)CCC(C)(C)O1.[OH],beta_scis
[CH2]CCC(OC)OO>>COC1CCCO1.[OH],[CH2]CCC(OC)OO,COC1CCCO1.[OH],beta_scis
C[CH]CCC(OC)OO>>COC1CCC(C)O1.[OH],C[CH]CCC(OC)OO,COC1CCC(C)O1.[OH],beta_scis
[CH2]CCC(C)(OC)OO>>COC1(C)CCCO1.[OH],[CH2]CCC(C)(OC)OO,COC1(C)CCCO1.[OH],beta_scis
C[CH]CCC(C)(OC)OO>>COC1(C)CCC(C)O1.[OH],C[CH]CCC(C)(OC)OO,COC1(C)CCC(C)O1.[OH],beta_scis
COC(CC[C](C)C)OO>>COC1CCC(C)(C)O1.[OH],COC(CC[C](C)C)OO,COC1CCC(C)(C)O1.[OH],beta_scis
COC(C)(CC[C](C)C)OO>>COC1(C)CCC(C)(C)O1.[OH],COC(C)(CC[C](C)C)OO,COC1(C)CCC(C)(C)O1.[OH],beta_scis
[CH2]CCOCOO>>C1COCOC1.[OH],[CH2]CCOCOO,C1COCOC1.[OH],beta_scis
[CH2]CCOC(C)OO>>CC1OCCCO1.[OH],[CH2]CCOC(C)OO,CC1OCCCO1.[OH],beta_scis
C[CH]CCOCOO>>CC1CCOCO1.[OH],C[CH]CCOCOO,CC1CCOCO1.[OH],beta_scis
C[CH]CCOC(C)OO>>CC1CCOC(C)O1.[OH],C[CH]CCOC(C)OO,CC1CCOC(C)O1.[OH],beta_scis
C[C](C)CCOCOO>>CC1(C)CCOCO1.[OH],C[C](C)CCOCOO,CC1(C)CCOCO1.[OH],beta_scis
[CH2]CCOC(C)(C)OO>>CC1(C)OCCCO1.[OH],[CH2]CCOC(C)(C)OO,CC1(C)OCCCO1.[OH],beta_scis
C[CH]CCOC(C)(C)OO>>CC1CCOC(C)(C)O1.[OH],C[CH]CCOC(C)(C)OO,CC1CCOC(C)(C)O1.[OH],beta_scis
C[C](C)CCOC(C)OO>>CC1OCCC(C)(C)O1.[OH],C[C](C)CCOC(C)OO,CC1OCCC(C)(C)O1.[OH],beta_scis
C[C](C)CCOC(C)(C)OO>>CC1(C)CCOC(C)(C)O1.[OH],C[C](C)CCOC(C)(C)OO,CC1(C)CCOC(C)(C)O1.[OH],beta_scis
[CH2]COCCOO>>C1COCCO1.[OH],[CH2]COCCOO,C1COCCO1.[OH],beta_scis
[CH2]COCC(C)OO>>CC1COCCO1.[OH],[CH2]COCC(C)OO,CC1COCCO1.[OH],beta_scis
C[CH]COCCOO>>CC1COCCO1.[OH],C[CH]COCCOO,CC1COCCO1.[OH],beta_scis
C[CH]COCC(C)OO>>CC1COCC(C)O1.[OH],C[CH]COCC(C)OO,CC1COCC(C)O1.[OH],beta_scis
C[C](C)COCCOO>>CC1(C)COCCO1.[OH],C[C](C)COCCOO,CC1(C)COCCO1.[OH],beta_scis
[CH2]COCC(C)(C)OO>>CC1(C)COCCO1.[OH],[CH2]COCC(C)(C)OO,CC1(C)COCCO1.[OH],beta_scis
C[CH]COCC(C)(C)OO>>CC1COCC(C)(C)O1.[OH],C[CH]COCC(C)(C)OO,CC1COCC(C)(C)O1.[OH],beta_scis
C[C](C)COCC(C)OO>>CC1COCC(C)(C)O1.[OH],C[C](C)COCC(C)OO,CC1COCC(C)(C)O1.[OH],beta_scis
C[C](C)COCC(C)(C)OO>>CC1(C)COCC(C)(C)O1.[OH],C[C](C)COCC(C)(C)OO,CC1(C)COCC(C)(C)O1.[OH],beta_scis
[CH2]OCCCOO>>C1COCOC1.[OH],[CH2]OCCCOO,C1COCOC1.[OH],beta_scis
[CH2]OCCC(C)OO>>CC1CCOCO1.[OH],[CH2]OCCC(C)OO,CC1CCOCO1.[OH],beta_scis
C[CH]OCCCOO>>CC1OCCCO1.[OH],C[CH]OCCCOO,CC1OCCCO1.[OH],beta_scis
C[CH]OCCC(C)OO>>CC1CCOC(C)O1.[OH],C[CH]OCCC(C)OO,CC1CCOC(C)O1.[OH],beta_scis
C[C](C)OCCCOO>>CC1(C)OCCCO1.[OH],C[C](C)OCCCOO,CC1(C)OCCCO1.[OH],beta_scis
[CH2]OCCC(C)(C)OO>>CC1(C)CCOCO1.[OH],[CH2]OCCC(C)(C)OO,CC1(C)CCOCO1.[OH],beta_scis
C[CH]OCCC(C)(C)OO>>CC1OCCC(C)(C)O1.[OH],C[CH]OCCC(C)(C)OO,CC1OCCC(C)(C)O1.[OH],beta_scis
C[C](C)OCCC(C)OO>>CC1CCOC(C)(C)O1.[OH],C[C](C)OCCC(C)OO,CC1CCOC(C)(C)O1.[OH],beta_scis
C[C](C)OCCC(C)(C)OO>>CC1(C)CCOC(C)(C)O1.[OH],C[C](C)OCCC(C)(C)OO,CC1(C)CCOC(C)(C)O1.[OH],beta_scis
CO[CH]CCCCOO>>COC1CCCCO1.[OH],CO[CH]CCCCOO,COC1CCCCO1.[OH],beta_scis
CO[CH]CCCC(C)OO>>COC1CCCC(C)O1.[OH],CO[CH]CCCC(C)OO,COC1CCCC(C)O1.[OH],beta_scis
CO[C](C)CCCCOO>>COC1(C)CCCCO1.[OH],CO[C](C)CCCCOO,COC1(C)CCCCO1.[OH],beta_scis
CO[C](C)CCCC(C)OO>>COC1(C)CCCC(C)O1.[OH],CO[C](C)CCCC(C)OO,COC1(C)CCCC(C)O1.[OH],beta_scis
CO[CH]CCCC(C)(C)OO>>COC1CCCC(C)(C)O1.[OH],CO[CH]CCCC(C)(C)OO,COC1CCCC(C)(C)O1.[OH],beta_scis
CO[C](C)CCCC(C)(C)OO>>COC1(C)CCCC(C)(C)O1.[OH],CO[C](C)CCCC(C)(C)OO,COC1(C)CCCC(C)(C)O1.[OH],beta_scis
[CH2]CCCC(OC)OO>>COC1CCCCO1.[OH],[CH2]CCCC(OC)OO,COC1CCCCO1.[OH],beta_scis
C[CH]CCCC(OC)OO>>COC1CCCC(C)O1.[OH],C[CH]CCCC(OC)OO,COC1CCCC(C)O1.[OH],beta_scis
[CH2]CCCC(C)(OC)OO>>COC1(C)CCCCO1.[OH],[CH2]CCCC(C)(OC)OO,COC1(C)CCCCO1.[OH],beta_scis
C[CH]CCCC(C)(OC)OO>>COC1(C)CCCC(C)O1.[OH],C[CH]CCCC(C)(OC)OO,COC1(C)CCCC(C)O1.[OH],beta_scis
COC(C)(CCC[C](C)C)OO>>COC1(C)CCCC(C)(C)O1.[OH],COC(C)(CCC[C](C)C)OO,COC1(C)CCCC(C)(C)O1.[OH],beta_scis
COC(CCC[C](C)C)OO>>COC1CCCC(C)(C)O1.[OH],COC(CCC[C](C)C)OO,COC1CCCC(C)(C)O1.[OH],beta_scis
[CH2]C(OC)OO>>C=COC.[O]O,[CH2]C(OC)OO,C=COC.[O]O,beta_scis
[CH2]C(OC)OO>>C=COO.C[O],[CH2]C(OC)OO,C=COO.C[O],beta_scis
CO[CH]COO>>O=CCOO.[CH3],CO[CH]COO,O=CCOO.[CH3],beta_scis
CO[CH]COO>>C=COC.[O]O,CO[CH]COO,C=COC.[O]O,beta_scis
[CH2]C(C)(OC)OO>>C=C(OC)OO.[CH3],[CH2]C(C)(OC)OO,C=C(OC)OO.[CH3],beta_scis
[CH2]C(C)(OC)OO>>C=C(C)OC.[O]O,[CH2]C(C)(OC)OO,C=C(C)OC.[O]O,beta_scis
[CH2]C(C)(OC)OO>>C=C(C)OO.C[O],[CH2]C(C)(OC)OO,C=C(C)OO.C[O],beta_scis
CO[C](C)COO>>CC(=O)COO.[CH3],CO[C](C)COO,CC(=O)COO.[CH3],beta_scis
CO[C](C)COO>>C=C(C)OC.[O]O,CO[C](C)COO,C=C(C)OC.[O]O,beta_scis
C[CH]C(OC)OO>>CC=COO.C[O],C[CH]C(OC)OO,CC=COO.C[O],beta_scis
C[CH]C(OC)OO>>CC=COC.[O]O,C[CH]C(OC)OO,CC=COC.[O]O,beta_scis
CO[CH]C(C)OO>>COC=COO.[CH3],CO[CH]C(C)OO,COC=COO.[CH3],beta_scis
CO[CH]C(C)OO>>CC=COC.[O]O,CO[CH]C(C)OO,CC=COC.[O]O,beta_scis
CO[CH]C(C)OO>>CC(C=O)OO.[CH3],CO[CH]C(C)OO,CC(C=O)OO.[CH3],beta_scis
[CH2]C(COC)OO>>C=CCOC.[O]O,[CH2]C(COC)OO,C=CCOC.[O]O,beta_scis
[CH2]C(COC)OO>>C=COO.[CH2]OC,[CH2]C(COC)OO,C=COO.[CH2]OC,beta_scis
C[CH]C(C)(OC)OO>>CC=C(OC)OO.[CH3],C[CH]C(C)(OC)OO,CC=C(OC)OO.[CH3],beta_scis
C[CH]C(C)(OC)OO>>CC=C(C)OC.[O]O,C[CH]C(C)(OC)OO,CC=C(C)OC.[O]O,beta_scis
C[CH]C(C)(OC)OO>>CC=C(C)OO.C[O],C[CH]C(C)(OC)OO,CC=C(C)OO.C[O],beta_scis
[CH2]C(CC)(OC)OO>>C=C(CC)OC.[O]O,[CH2]C(CC)(OC)OO,C=C(CC)OC.[O]O,beta_scis
[CH2]C(CC)(OC)OO>>C=C(CC)OO.C[O],[CH2]C(CC)(OC)OO,C=C(CC)OO.C[O],beta_scis
[CH2]C(CC)(OC)OO>>C=C(OC)OO.[CH2]C,[CH2]C(CC)(OC)OO,C=C(OC)OO.[CH2]C,beta_scis
COC(OO)[C](C)C>>CC(C)=COO.C[O],COC(OO)[C](C)C,CC(C)=COO.C[O],beta_scis
COC(OO)[C](C)C>>COC=C(C)C.[O]O,COC(OO)[C](C)C,COC=C(C)C.[O]O,beta_scis
[CH2]C(OO)C(C)OC>>C=CC(C)OC.[O]O,[CH2]C(OO)C(C)OC,C=CC(C)OC.[O]O,beta_scis
[CH2]C(OO)C(C)OC>>C=COO.C[CH]OC,[CH2]C(OO)C(C)OC,C=COO.C[CH]OC,beta_scis
CO[C](C)C(C)OO>>CC=C(C)OC.[O]O,CO[C](C)C(C)OO,CC=C(C)OC.[O]O,beta_scis
CO[C](C)C(C)OO>>CC(=O)C(C)OO.[CH3],CO[C](C)C(C)OO,CC(=O)C(C)OO.[CH3],beta_scis
CO[C](C)C(C)OO>>COC(C)=COO.[CH3],CO[C](C)C(C)OO,COC(C)=COO.[CH3],beta_scis
CO[CH]C(C)(C)OO>>CC(C)(C=O)OO.[CH3],CO[CH]C(C)(C)OO,CC(C)(C=O)OO.[CH3],beta_scis
CO[CH]C(C)(C)OO>>COC=C(C)C.[O]O,CO[CH]C(C)(C)OO,COC=C(C)C.[O]O,beta_scis
CO[CH]C(C)(C)OO>>COC=C(C)OO.[CH3],CO[CH]C(C)(C)OO,COC=C(C)OO.[CH3],beta_scis
[CH2]C(C)(COC)OO>>C=C(C)OO.[CH2]OC,[CH2]C(C)(COC)OO,C=C(C)OO.[CH2]OC,beta_scis
[CH2]C(C)(COC)OO>>C=C(C)COC.[O]O,[CH2]C(C)(COC)OO,C=C(C)COC.[O]O,beta_scis
[CH2]C(C)(COC)OO>>C=C(COC)OO.[CH3],[CH2]C(C)(COC)OO,C=C(COC)OO.[CH3],beta_scis
[CH2]C(OC)(OO)C(C)C>>C=C(OC)OO.C[CH]C,[CH2]C(OC)(OO)C(C)C,C=C(OC)OO.C[CH]C,beta_scis
[CH2]C(OC)(OO)C(C)C>>C=C(OC)C(C)C.[O]O,[CH2]C(OC)(OO)C(C)C,C=C(OC)C(C)C.[O]O,beta_scis
[CH2]C(OC)(OO)C(C)C>>C=C(OO)C(C)C.C[O],[CH2]C(OC)(OO)C(C)C,C=C(OO)C(C)C.C[O],beta_scis
COC(C)(OO)[C](C)C>>COC(OO)=C(C)C.[CH3],COC(C)(OO)[C](C)C,COC(OO)=C(C)C.[CH3],beta_scis
COC(C)(OO)[C](C)C>>COC(C)=C(C)C.[O]O,COC(C)(OO)[C](C)C,COC(C)=C(C)C.[O]O,beta_scis
COC(C)(OO)[C](C)C>>CC(C)=C(C)OO.C[O],COC(C)(OO)[C](C)C,CC(C)=C(C)OO.C[O],beta_scis
CO[C](C)C(C)(C)OO>>CC(=O)C(C)(C)OO.[CH3],CO[C](C)C(C)(C)OO,CC(=O)C(C)(C)OO.[CH3],beta_scis
CO[C](C)C(C)(C)OO>>COC(C)=C(C)C.[O]O,CO[C](C)C(C)(C)OO,COC(C)=C(C)C.[O]O,beta_scis
CO[C](C)C(C)(C)OO>>COC(C)=C(C)OO.[CH3],CO[C](C)C(C)(C)OO,COC(C)=C(C)OO.[CH3],beta_scis
[CH2]C(C)(OO)C(C)OC>>C=C(C)C(C)OC.[O]O,[CH2]C(C)(OO)C(C)OC,C=C(C)C(C)OC.[O]O,beta_scis
[CH2]C(C)(OO)C(C)OC>>C=C(OO)C(C)OC.[CH3],[CH2]C(C)(OO)C(C)OC,C=C(OO)C(C)OC.[CH3],beta_scis
[CH2]C(C)(OO)C(C)OC>>C=C(C)OO.C[CH]OC,[CH2]C(C)(OO)C(C)OC,C=C(C)OO.C[CH]OC,beta_scis
[CH2]OCOO>>C=O.[CH2]OO,[CH2]OCOO,C=O.[CH2]OO,beta_scis
C[CH]OCOO>>CC=O.[CH2]OO,C[CH]OCOO,CC=O.[CH2]OO,beta_scis
[CH2]OC(C)OO>>C=O.C[CH]OO,[CH2]OC(C)OO,C=O.C[CH]OO,beta_scis
C[C](C)OCOO>>CC(C)=O.[CH2]OO,C[C](C)OCOO,CC(C)=O.[CH2]OO,beta_scis
[CH2]OC(C)(C)OO>>C=O.C[C](C)OO,[CH2]OC(C)(C)OO,C=O.C[C](C)OO,beta_scis
C[CH]OC(C)OO>>CC=O.C[CH]OO,C[CH]OC(C)OO,CC=O.C[CH]OO,beta_scis
C[C](C)OC(C)OO>>CC(C)=O.C[CH]OO,C[C](C)OC(C)OO,CC(C)=O.C[CH]OO,beta_scis
C[CH]OC(C)(C)OO>>CC=O.C[C](C)OO,C[CH]OC(C)(C)OO,CC=O.C[C](C)OO,beta_scis
C[C](C)OC(C)(C)OO>>CC(C)=O.C[C](C)OO,C[C](C)OC(C)(C)OO,CC(C)=O.C[C](C)OO,beta_scis
CO[CH]CCOO>>O=CCCOO.[CH3],CO[CH]CCOO,O=CCCOO.[CH3],beta_scis
